case_id,evidence_type,status,study_axis,loading_condition,mesh,mesh_cells,period_s,frequency_hz,timestep_s,cycles,configured_max_courant,configured_max_alpha_courant,excitation,geometry_basis,solver_class
anchor-t10-a5,cfd_forced_roll,accepted,period_anchor,forced_roll,medium,20480,10,,,9.998,0.5,0.5,sinusoidal_roll_5_deg,rectangular_twin_compartment_normalized,vof_cfd
anchor-t13-a5,cfd_forced_roll,accepted,period_anchor,forced_roll,medium,20480,13,,,9.998,0.5,0.5,sinusoidal_roll_5_deg,rectangular_twin_compartment_normalized,vof_cfd
anchor-t40-a5,cfd_forced_roll,accepted,period_anchor,forced_roll,medium,20480,40,,,10,0.5,0.5,sinusoidal_roll_5_deg,rectangular_twin_compartment_normalized,vof_cfd
anchor-t60-a5,cfd_forced_roll,accepted,period_anchor,forced_roll,medium,20480,60,,,10,0.5,0.5,sinusoidal_roll_5_deg,rectangular_twin_compartment_normalized,vof_cfd
baseline-static-t24,cfd_static,accepted,stationary_baseline,stationary,medium,20480,24,,,1.99916666666667,0.5,0.5,none,rectangular_twin_compartment_normalized,vof_cfd
conduit-a13p5-t10p64-a5,cfd_forced_roll,accepted,conduit_area_prediction,forced_roll,medium,20480,10.64,,,10,0.5,0.5,sinusoidal_roll_5_deg,rectangular_twin_compartment_normalized,vof_cfd
conduit-a13p5-t13-a5,cfd_forced_roll,accepted,conduit_area_prediction,forced_roll,medium,20480,13,,,10,0.5,0.5,sinusoidal_roll_5_deg,rectangular_twin_compartment_normalized,vof_cfd
conduit-a13p5-t9-a5,cfd_forced_roll,accepted,conduit_area_prediction,forced_roll,medium,20480,9,,,10,0.5,0.5,sinusoidal_roll_5_deg,rectangular_twin_compartment_normalized,vof_cfd
conduit-a3p4-t17-a5,cfd_forced_roll,accepted,conduit_area_prediction,forced_roll,medium,20480,17,,,10,0.5,0.5,sinusoidal_roll_5_deg,rectangular_twin_compartment_normalized,vof_cfd
conduit-a3p4-t19p73-a5,cfd_forced_roll,accepted,conduit_area_prediction,forced_roll,medium,20480,19.73,,,10,0.5,0.5,sinusoidal_roll_5_deg,rectangular_twin_compartment_normalized,vof_cfd
conduit-a3p4-t23-a5,cfd_forced_roll,accepted,conduit_area_prediction,forced_roll,medium,20480,23,,,10,0.5,0.5,sinusoidal_roll_5_deg,rectangular_twin_compartment_normalized,vof_cfd
decay-dt-0p001,cfd_validation,accepted,dt,free_decay,structured_2d,6400,,0.755717,0.001,,,,initial_free_surface_perturbation,rectangular_free_surface_benchmark,vof_cfd
decay-dt-0p004,cfd_validation,accepted,dt,free_decay,structured_2d,6400,,0.755702,0.004,,,,initial_free_surface_perturbation,rectangular_free_surface_benchmark,vof_cfd
