case_id,completion_marker,end_time_s,configured_max_courant,observed_max_courant,observed_max_courant_time_s,courant_median,courant_p95,courant_target_exceeded,courant_steps_above_target,courant_step_count,pressure_probe_count,pressure_times_per_probe,pressure_row_count,aggregate_load_row_count,output_interval_s,all_reduced_values_finite,exchange_cycle_change_pct,moment_cycle_change_pct,declared_exchange_limit_pct,declared_moment_limit_pct,cycle_converged,exchange_change_from_prior_fine_pct,roll_moment_change_from_prior_fine_pct,max_courant_change_from_prior_fine_pct,qa_status
anchor-t10-a5,End,99.98,0.5,0.40897899,,,,false,,,0,,,,0.1,true,0.456053617073003,0.0311426281456732,2,5,true,,,,pass
anchor-t13-a5,End,129.974,0.5,0.41479846,,,,false,,,0,,,,0.1,true,0.169334362347697,0.301207162712485,2,5,true,,,,pass
anchor-t40-a5,End,400,0.5,0.18465383,,,,false,,,0,,,,0.1,true,0.0119315502009059,0.00812566025377456,2,5,true,,,,pass
anchor-t60-a5,End,600,0.5,0.17872853,,,,false,,,0,,,,0.1,true,0.0787812115815107,0.076749457818295,2,5,true,,,,pass
baseline-static-t24,true,47.98,0.5,0.0041304469,47.18,0.00010032252,0.00294497808,false,,2410,0,0,0,2400,0.1,true,0,0,2,5,true,,,,accepted_static_baseline
conduit-a13p5-t10p64-a5,End,106.4,0.5,0.39572191,,,,false,,,0,,,,0.1,true,0.0446183914630211,0.122931044011954,2,5,true,,,,pass
conduit-a13p5-t13-a5,End,130,0.5,0.36541342,,,,false,,,0,,,,0.1,true,0.0849606172492766,0.133899733499465,2,5,true,,,,pass
conduit-a13p5-t9-a5,End,90,0.5,0.36492901,,,,false,,,0,,,,0.1,true,0.0188616131459141,0.880377508749151,2,5,true,,,,pass
conduit-a3p4-t17-a5,End,170,0.5,0.44419888,,,,false,,,0,,,,0.1,true,0.3329919049145,0.112445419746424,2,5,true,,,,pass
conduit-a3p4-t19p73-a5,End,197.3,0.5,0.43750047,,,,false,,,0,,,,0.1,true,0.273365702159749,0.0639840163931354,2,5,true,,,,pass
conduit-a3p4-t23-a5,End,230,0.5,0.41682698,,,,false,,,0,,,,0.1,true,0.149017759504402,0.0273030264661855,2,5,true,,,,pass
fill-f25-t12-a5,End,120,0.5,0.43695369,,,,false,,,0,,,,0.1,true,2.25040754219989,2.40686377308355,2,5,false,,,,review
fill-f25-t13p95-a10,End,139.5,0.5,0.65012355,,,,true,,,0,,,,0.1,true,0.342021730441784,0.902646837126249,2,5,true,,,,pass
fill-f25-t13p95-a5,End,139.5,0.5,0.42559308,,,,false,,,0,,,,0.1,true,2.30339561560279,0.557394621553335,2,5,false,,,,review
fill-f25-t16-a5,End,160,0.5,0.42431276,,,,false,,,0,,,,0.1,true,0.112917407370989,0.127586020392914,2,5,true,,,,pass
fill-f70-t13-a5,End,130,0.5,0.41298226,,,,false,,,0,,,,0.1,true,0.0319951006355483,0.331415252202905,2,5,true,,,,pass
fill-f70-t14p59-a10,End,145.9,0.5,0.6581154,,,,true,,,0,,,,0.1,true,0.475696457425983,0.0220861327419971,2,5,true,,,,pass
fill-f70-t14p59-a5,End,145.9,0.5,0.42199799,,,,false,,,0,,,,0.1,true,0.220841776729771,0.466355307268629,2,5,true,,,,pass
fill-f70-t17-a5,End,170,0.5,0.40422169,,,,false,,,0,,,,0.1,true,0.526946319026397,0.602461529497443,2,5,true,,,,pass
forced-fine-co025-pressure-t24,true,240,0.25,0.32648391,104.932,0.24895369,0.291275775,true,,24095,20,4800,96000,2400,0.05,true,0.0792335325057641,0.0768689663537009,2,5,true,,,,publish_with_courant_caveat
forced-fine-co035-pressure-t24,true,240,0.35,0.47841479,17.45,0.33655049,0.40386495,true,4951,17969,20,4800,96000,4800,0.05,true,0.137055192982667,0.0405693676041018,2,5,true,-0.184155303933792,-0.237758626568819,-12.842116681086,publish_with_courant_caveat
forced-medium-sectional-t24,true,239.98,0.5,0.31541745,98.46,0.237747725,0.3092706275,false,,12010,0,0,0,2400,0.1,true,0.023002424405722,0.0235391750232671,2,5,true,,,,accepted_cycle_converged
forced-medium-t21,true,209.98,0.5,0.36031468,192.04,0.26671863,0.3499188745,false,,10510,0,0,0,2400,0.1,true,0.0779309043494602,0.0637011995708033,2,5,true,,,,accepted_cycle_converged
forced-medium-t22,true,219.98,0.5,0.34553355,79.92,0.256194455,0.3337056775,false,,11010,0,0,0,2400,0.1,true,0.00131302367991397,0.0641866348058979,2,5,true,,,,accepted_cycle_converged
forced-medium-t23,true,229.98,0.5,0.33072195,83.22,0.247909625,0.3226001765,false,,11510,0,0,0,2400,0.1,true,0.094603594290946,0.146655470422634,2,5,true,,,,accepted_cycle_converged
forced-medium-t24,true,239.98,0.5,0.31541745,98.46,0.237747725,0.3092706275,false,,12010,0,0,0,2400,0.1,true,0.023002424405722,0.0235391750232671,2,5,true,,,,accepted_cycle_converged
forced-medium-t25,true,249.98,0.5,0.29901568,102.24,0.227731775,0.2940399795,false,,12510,0,0,0,2400,0.1,true,0.00784586370789151,0.00508830874823113,2,5,true,,,,accepted_cycle_converged
grid-t10-a10,End,99.92,0.5,0.64681199,,,,true,,,0,,,,0.1,true,3.23776014480184,0.707513115868431,2,5,false,,,,review
grid-t10-a2p5,End,99.98,0.5,0.26083105,,,,false,,,0,,,,0.1,true,0.8424801813284,1.74527898135357,2,5,true,,,,pass
grid-t13-a10,End,129.922,0.5,0.62963431,,,,true,,,0,,,,0.1,true,0.385016829892863,0.136120994518161,2,5,true,,,,pass
grid-t13-a2p5,End,129.974,0.5,0.30141176,,,,false,,,0,,,,0.1,true,0.192423797971404,0.0809525931762701,2,5,true,,,,pass
grid-t16-a10,End,159.936,0.5,0.65791556,,,,true,,,0,,,,0.1,true,0.295400479144482,0.30199089305781,2,5,true,,,,pass
grid-t16-a2p5,End,159.984,0.5,0.28923191,,,,false,,,0,,,,0.1,true,0.174010844543892,0.212007597277132,2,5,true,,,,pass
grid-t20-a10,End,199.96,0.5,0.65681098,,,,true,,,0,,,,0.1,true,0.656198064780704,0.693085469897277,2,5,true,,,,pass
grid-t20-a2p5,End,199.98,0.5,0.24529935,,,,false,,,0,,,,0.1,true,0.0949308044907797,0.156766479227884,2,5,true,,,,pass
grid-t23-a10,End,229.954,0.5,0.6328397,,,,true,,,0,,,,0.1,true,0.0983585645639516,0.070304583745701,2,5,true,,,,pass
grid-t23-a2p5,End,229.977,0.5,0.21838081,,,,false,,,0,,,,0.1,true,0.0650544840149459,0.00938731643259339,2,5,true,,,,pass
grid-t23-a5,End,229.977,0.5,0.33072195,,,,false,,,0,,,,0.1,true,0.0946035942909459,0.146655470422634,2,5,true,,,,pass
grid-t26-a10,End,259.974,0.5,0.50737529,,,,true,,,0,,,,0.1,true,0.10984819111154,0.138651816206531,2,5,true,,,,pass
grid-t26-a2p5,End,259.974,0.5,0.191431,,,,false,,,0,,,,0.1,true,0.00500281696263543,0.0515738798863924,2,5,true,,,,pass
grid-t40-a10,End,400,0.5,0.31611176,,,,false,,,0,,,,0.1,true,0.00942317410458554,0.00502517590561788,2,5,true,,,,pass
grid-t40-a2p5,End,400,0.5,0.17496522,,,,false,,,0,,,,0.1,true,0.0842272369126182,0.058606959331069,2,5,true,,,,pass
twin-conduit-a13p5,true,74.98,0.5,0.23759881,5.68,0.14318232,0.18764214,false,,3762,0,0,0,0,0.1,true,0.3409,,2,,true,,,,accepted_cycle_converged
twin-conduit-a3p4,true,74.98,0.5,0.25021349,6.1,0.15146731,0.2038429,false,,3762,0,0,0,0,0.1,true,0.9157,,2,,true,,,,accepted_cycle_converged
twin-conduit-a6p8,true,68.78,0.5,0.33392834,37.5,0.14662014,0.19571405,false,,3453,0,0,0,0,0.1,true,1.4868,,2,,true,,,,accepted_cycle_converged
