case_id,probe_id,wall_location,z_over_height,window,minimum_Pa,maximum_Pa,mean_Pa,rms_Pa,p95_Pa,p99_Pa,peak_to_peak_Pa,harmonic_amplitude_Pa,qa_status
forced-fine-co025-pressure-t24,pressure-left-inner-h10,left-inner,0.1,final_three_cycles,37370.669,44649.475,40877.0943580847,40953.2410336802,44551.565,44625.4632,7278.806,3527.93973659723,configured_limit_exceeded
forced-fine-co025-pressure-t24,pressure-left-inner-h10,left-inner,0.1,full_run,37314.292,44795.9,40935.2892783333,41010.0532273675,44556.2849,44702.12327,7481.608,3477.02458591189,configured_limit_exceeded
forced-fine-co025-pressure-t24,pressure-left-inner-h10,left-inner,0.1,last_cycle,37370.669,44649.475,40893.3315717256,40970.6625370525,44592.575,44643.618,7278.806,3566.67194504208,configured_limit_exceeded
forced-fine-co025-pressure-t24,pressure-left-inner-h30,left-inner,0.3,final_three_cycles,17069.525,24699.453,20712.3433650243,20866.6209856949,24458.228,24669.9212,7629.928,3579.05414456789,configured_limit_exceeded
forced-fine-co025-pressure-t24,pressure-left-inner-h30,left-inner,0.3,full_run,16985.787,24968.376,20790.138919375,20945.1749371242,24585.1801,24812.75888,7982.589,3571.31885009755,configured_limit_exceeded
forced-fine-co025-pressure-t24,pressure-left-inner-h30,left-inner,0.3,last_cycle,17069.525,24675.559,20724.6839064449,20883.598248745,24554.249,24665.218,7606.034,3623.69298523112,configured_limit_exceeded
forced-fine-co025-pressure-t24,pressure-left-inner-h50,left-inner,0.5,final_three_cycles,-61.615987,5250.7562,1677.63323604934,2537.05414007588,5003.9174,5168.24438,5312.372187,2552.92491324499,configured_limit_exceeded
forced-fine-co025-pressure-t24,pressure-left-inner-h50,left-inner,0.5,full_run,-62.014011,5530.9156,1668.64088128846,2518.81494633018,4988.32473,5325.311144,5592.929611,2516.5866975585,configured_limit_exceeded
forced-fine-co025-pressure-t24,pressure-left-inner-h50,left-inner,0.5,last_cycle,-61.615987,5119.2592,1621.94963969896,2473.99331504662,4936.5028,5107.31788,5180.875187,2815.22754916554,configured_limit_exceeded
forced-fine-co025-pressure-t24,pressure-left-inner-h70,left-inner,0.7,final_three_cycles,-85.83217,-80.80924,-83.6937270277585,83.7068616440482,-81.375202,-81.0854788,5.02293,2.07502148122238,configured_limit_exceeded
forced-fine-co025-pressure-t24,pressure-left-inner-h70,left-inner,0.7,full_run,-85.940972,-80.80924,-83.6959910516667,83.7092412052856,-81.3675578,-81.06585164,5.131732,2.08162628590646,configured_limit_exceeded
forced-fine-co025-pressure-t24,pressure-left-inner-h70,left-inner,0.7,last_cycle,-85.761617,-80.80924,-83.68364397921,83.6969700749197,-81.321762,-80.9074778,4.952377,2.01090931951694,configured_limit_exceeded
forced-fine-co025-pressure-t24,pressure-left-inner-h90,left-inner,0.9,final_three_cycles,-109.85817,-105.30224,-107.891513192228,107.902418901644,-105.41983,-105.34151,4.55593,2.14737169883327,configured_limit_exceeded
forced-fine-co025-pressure-t24,pressure-left-inner-h90,left-inner,0.9,full_run,-109.87213,-105.30224,-107.893017447917,107.90406018798,-105.4318405,-105.3681697,4.56989,2.15833367167216,configured_limit_exceeded
forced-fine-co025-pressure-t24,pressure-left-inner-h90,left-inner,0.9,last_cycle,-109.817,-105.30224,-107.890317733888,107.901139763619,-105.37085,-105.315082,4.51476,2.10041237562442,configured_limit_exceeded
forced-fine-co025-pressure-t24,pressure-left-outer-h10,left-outer,0.1,final_three_cycles,33321.52,48889.278,41245.1087154754,41619.9369793733,48678.877,48849.9116,15567.758,7867.21035207488,configured_limit_exceeded
forced-fine-co025-pressure-t24,pressure-left-outer-h10,left-outer,0.1,full_run,33197.492,49084.138,41263.4870020833,41639.9958139814,48737.5676,48968.81327,15886.646,7884.31541161599,configured_limit_exceeded
