preview_id,case_id,media_type,relative_path,sha256,bytes,status,alt_text
alpha-final-t240,forced-fine-co035-pressure-t24,image/png,alpha_snapshot_t240.png,2a2e535a5571d08009a90ca02624ac6ac1ec0ba09e9913c1262e7b1aa2c62d6b,57278,published,Normalized liquid fraction at the final simulation time.
alpha-last-2p5s,forced-fine-co035-pressure-t24,image/gif,alpha_preview_last_2p5s.gif,e476e56d124fe06f49c3802f9a2c3013be5910d630bf7bd4208e13aee60caeb7,55807,published,Normalized liquid fraction over the final 2.5 seconds.
forced-fine-t24-snapshot,forced-fine-t24,image/png,forced-fine-t24_snapshot.png,56f1a7da47b429a58c0eb9f37c1fcf2f786e33e683d6fdc97deab19ae28c7a09,157727,published,Final CFD frame with response graphs for forced-roll period 24 seconds.
forced-fine-t24-video,forced-fine-t24,video/mp4,forced-fine-t24_final_window_1080p.mp4,5755a73cfe7454d0ab88f41bf78c0bd17b4104489bfda7feb1a9f6434da0a883,110547,published,1080p CFD animation with synchronized response graphs for forced-roll period 24 seconds.
forced-medium-t16-snapshot,forced-medium-t16,image/png,forced-medium-t16_snapshot.png,f531bcfef1bf3163479ed313e903db0689af3002e1e13f270efba74e62063bfb,167529,published,Final CFD frame with response graphs for forced-roll period 16 seconds.
forced-medium-t16-video,forced-medium-t16,video/mp4,forced-medium-t16_final_window_1080p.mp4,ccc3b706b2dc4313c4a16a16ed8b99bdff330f4a1f8a5329661cd4911280f649,128140,published,1080p CFD animation with synchronized response graphs for forced-roll period 16 seconds.
forced-medium-t22-snapshot,forced-medium-t22,image/png,forced-medium-t22_snapshot.png,53d1bc0ce34936a701868d2e09080f81fe2b2dbad79276517ba9b632a6ead752,154469,published,Final CFD frame with response graphs for forced-roll period 22 seconds.
forced-medium-t22-video,forced-medium-t22,video/mp4,forced-medium-t22_final_window_1080p.mp4,bfa085086bf2c55d151cf1c2ddc99ecb9d7f3d97820fee99034e946fdef22eea,119596,published,1080p CFD animation with synchronized response graphs for forced-roll period 22 seconds.
forced-medium-t26-snapshot,forced-medium-t26,image/png,forced-medium-t26_snapshot.png,cd48656c9616d66718d02c68741bc0e6fa73690fb53d8a1281f91227da026aac,156663,published,Final CFD frame with response graphs for forced-roll period 26 seconds.
forced-medium-t26-video,forced-medium-t26,video/mp4,forced-medium-t26_final_window_1080p.mp4,e419e717af092ec52b4c34fad3fa7dab2f3e5d764b05755da63a3a5997687dc2,117328,published,1080p CFD animation with synchronized response graphs for forced-roll period 26 seconds.
